,index,Name,comment,ID,Year,Rank,Average,Users rated,comment_length,Good_bad,sentiment,averageweight,maxplayers,minage,minplayers,minplaytime,owned,playingtime,stddev,trading,wanting,wishing,yearpublished,boardgamedesigner2,boardgamecategory2,boardgamemechanic2,boardgamepublisher2,suggested_language_dependence3,Strategy Game Rank,Family Game Rank,mech1,mech2,mech3,other mech,playingtime_cat
5126,5126,Expedition: Famous Explorers,86,136558,2013,3293,6.85,364,212.4767441860465,Bad,0.10201981618188018,1.9615,6,13,2,90,926,90,1.28506,53,46,177,2013,Wolfgang Kramer,"Exploration, Travel","Point to Point Movement, Route/Network Building",8th Summit,Some necessary text - easily memorized or small crib sheet,,853.0,Point to Point Movement, Route/Network Building,,,3_61-120
5144,5144,Extra!,120,2371,2011,3900,6.51,371,172.03333333333333,Bad,0.09607189961597858,1.4286,6,8,1,10,446,10,1.30542,8,24,59,2011,Sid Sackson,Dice,"Dice Rolling, Set Collection","G3, Schmidt Spiele",No necessary in-game text,,974.0,Dice Rolling, Set Collection,,,1_<= 30
5168,5168,FUSE,845,171273,2015,579,7.1,5401,175.54082840236686,Good,0.10719207980615504,1.7059,5,10,1,10,8356,10,1.19297,201,261,1330,2015,Kane Klenko,"Action / Dexterity, Dice, Real-time","Card Drafting, Cooperative Play, Dice Rolling, Pattern Building","Renegade Game Studios, Portal Games, REXhry",No necessary in-game text,,127.0,Card Drafting, Cooperative Play, Dice Rolling, Pattern Building,1_<= 30
5170,5170,Fabled Fruit,581,203427,2016,646,7.12,3895,238.8055077452668,Good,0.0934500915828771,1.6173,5,8,2,20,6066,30,1.2103,164,278,1208,2016,Friedemann Friese,"Animals, Card Game","Set Collection, Worker Placement","2F-Spiele, Albi, Arclight, Edge Entertainment, Game On Publishing LTD, Giochi Uniti, Hobby World, Lacerta, Stronghold Games, Swan Panasia Co., Ltd., White Goblin Games",Moderate in-game text - needs crib sheet or paste ups,,136.0,Set Collection, Worker Placement,,,1_<= 30
5194,5194,Fairy Tile,94,220780,2018,3811,6.38,521,234.80851063829783,Bad,0.11778830247360825,1.3846,4,8,2,30,1044,30,1.4224700000000001,24,42,278,2018,Matthew Dunstan    Brett J  Gilbert,"""Childrens Game"", Fantasy, Medieval","Storytelling, Tile Placement","2 Pionki, Conclave Editora, Fabrika Igr, Fractal Juegos, IELLO, Korea Boardgames co., Ltd., MEBO Games, Portal Games, Tcg Factory",Moderate in-game text - needs crib sheet or paste ups,,981.0,Storytelling, Tile Placement,,,1_<= 30
5215,5215,Famiglia,559,81453,2010,1622,6.49,2781,195.52057245080502,Bad,0.06813147145029114,1.7562,2,10,2,30,4185,30,1.30025,214,62,302,2010,Friedemann Friese,"Card Game, Mafia","Card Drafting, Deck / Pool Building, Hand Management","2F-Spiele, Arclight, Edge Entertainment, Lacerta, Rio Grande Games, Rocks Games",No necessary in-game text,845.0,447.0,Card Drafting, Deck / Pool Building, Hand Management,,1_<= 30
5245,5245,Fantastiqa,287,125046,2012,1600,7.03,1040,279.0383275261324,Good,0.12174883084738568,2.3919,4,8,2,45,1839,60,1.4092200000000001,94,181,748,2012,Alf Seegert,"Adventure, Fantasy","Deck / Pool Building, Hand Management, Partnerships, Point to Point Movement, Rock-Paper-Scissors, Set Collection",Eagle-Gryphon Games,Moderate in-game text - needs crib sheet or paste ups,,395.0,Deck / Pool Building, Hand Management, Partnerships," Point to Point Movement, Rock-Paper-Scissors, Set Collection",2_31-60
5257,5257,Fantasy Realms,235,223040,2017,900,7.37,1518,216.37021276595746,Good,0.10701585406385894,1.8065,6,14,3,20,2470,20,1.27857,20,161,702,2017,Bruce Glassco,"Card Game, Fantasy","Card Drafting, Set Collection","BoardM Factory, Lavka Games, Looping Games, Rebel, REXhry, WizKids",Moderate in-game text - needs crib sheet or paste ups,,172.0,Card Drafting, Set Collection,,,1_<= 30
5274,5274,Farmageddon,190,102897,2012,3894,6.19,713,184.4736842105264,Bad,0.0901013857493032,1.6226,4,14,2,30,1444,30,1.41192,105,15,127,2012,Grant Rodiek,"Card Game, Farming, Humor","Hand Management, Take That","5th Street Games, The Game Crafter, LLC, Hyperbole Games, Trefl Joker Line",Some necessary text - easily memorized or small crib sheet,,1014.0,Hand Management, Take That,,,1_<= 30
5275,5275,Farmerama,42,120305,2012,5768,6.2,263,320.95238095238096,Bad,0.058184272172947187,2.0952,4,10,1,60,452,70,1.21581,32,23,75,2012,Uwe Rosenberg,"Animals, Farming, Video Game Theme","Hand Management, Simulation, Simultaneous Action Selection",Ravensburger Spieleverlag GmbH,No necessary in-game text,1609.0,1258.0,Hand Management, Simulation, Simultaneous Action Selection,,3_61-120
5288,5288,Fast Forward: FEAR,159,231664,2017,3328,6.22,890,294.3333333333333,Bad,0.07012075360896332,1.0769,5,8,2,15,1666,15,1.4881799999999998,75,48,265,2017,Friedemann Friese,"Bluffing, Card Game, Math","Hand Management, Press Your Luck, Take That","2F-Spiele, Arclight, Conclave Editora, Edge Entertainment, Stronghold Games, White Goblin Games",Moderate in-game text - needs crib sheet or paste ups,,901.0,Hand Management, Press Your Luck, Take That,,1_<= 30
5289,5289,Fast Forward: FLEE,122,231666,2017,4331,6.06,759,210.0,Bad,0.034676327825036636,2.2222,4,12,1,75,1812,90,1.5188,96,55,253,2017,Friedemann Friese,"Card Game, Fantasy, Puzzle","Cooperative Play, Hand Management","2F-Spiele, Arclight, Edge Entertainment, Stronghold Games, White Goblin Games",Extensive use of text - massive conversion needed to be playable,,1109.0,Cooperative Play, Hand Management,,,3_61-120
5290,5290,Fast Forward: FORTRESS,143,231665,2017,2777,6.42,909,253.04195804195805,Bad,0.10190762104418401,1.4091,4,10,2,15,1748,15,1.3842299999999998,75,64,265,2017,Friedemann Friese,"Bluffing, Card Game, Fantasy, Fighting, Humor, Math","Hand Management, Press Your Luck, Set Collection, Take That","2F-Spiele, Arclight, Edge Entertainment, Stronghold Games, White Goblin Games",Some necessary text - easily memorized or small crib sheet,,752.0,Hand Management, Press Your Luck, Set Collection, Take That,1_<= 30
5299,5299,Fate Of Akalon: Tribes,11,178266,2016,10771,7.03,32,256.09090909090907,Good,0.11240111185111183,2.0,4,13,2,15,64,45,1.12867,3,0,9,2016,Robert Nicaise,"Card Game, Fantasy","Hand Management, Trick-taking, Variable Player Powers",Foursight Games,Moderate in-game text - needs crib sheet or paste ups,,1545.0,Hand Management, Trick-taking, Variable Player Powers,,2_31-60
5308,5308,Favor of the Pharaoh,407,171011,2015,1214,6.84,2218,214.44471744471744,Bad,0.10125237865199413,2.0,4,13,2,45,3272,45,1.25397,152,199,754,2015,Thomas Lehmann,Dice,"Deck / Pool Building, Dice Rolling","Bézier Games, Group SNE, Viravi Edicions",Some necessary text - easily memorized or small crib sheet,,295.0,Deck / Pool Building, Dice Rolling,,,2_31-60
5323,5323,Felinia,124,84869,2010,3394,6.49,534,305.6935483870968,Bad,0.037439034837875,2.5897,4,10,2,60,1037,60,1.35979,83,31,136,2010,Michael Schacht,"Exploration, Medieval, Mythology, Territory Building","Area Control / Area Influence, Area Movement, Auction/Bidding, Set Collection","Matagot, Asmodee",No necessary in-game text,1274.0,881.0,Area Control / Area Influence, Area Movement, Auction/Bidding, Set Collection,2_31-60
5335,5335,Feudality,164,99312,2011,2922,6.49,709,271.0670731707317,Bad,0.05819554017753398,2.1607,6,10,2,60,1000,90,1.3672799999999998,63,57,204,2011,Tom Wham,Medieval,"Dice Rolling, Tile Placement","Lookout Games, Z-Man Games, Inc.",Moderate in-game text - needs crib sheet or paste ups,,781.0,Dice Rolling, Tile Placement,,,3_61-120
5422,5422,Fireball Island: The Curse of Vul-Kar,381,233020,2018,947,7.26,1967,250.4330708661417,Good,0.08667893300028763,1.439,4,7,2,45,5391,60,1.5033299999999998,55,160,913,2018,Rob Daviau    JR Honeycutt    Justin D  Jacobson    Chuck Kennedy    Bruce Lund,"Action / Dexterity, Adventure, Travel","Action / Movement Programming, Action Point Allowance System, Area Movement, Pick-up and Deliver, Press Your Luck, Set Collection, Take That","Asmodee, Broadway Toys LTD, Mandoo Games, Mizo Games, Restoration Games",Moderate in-game text - needs crib sheet or paste ups,,219.0,Action / Movement Programming, Action Point Allowance System, Area Movement," Pick-up and Deliver, Press Your Luck, Set Collection, Take That",2_31-60
5431,5431,Firenze,412,75449,2010,731,7.29,2160,274.8543689320388,Good,0.10061029728334822,2.5479,4,12,2,60,2772,60,1.1717,60,405,1094,2010,Andreas Steding,"Economic, Renaissance","Deck / Pool Building, Set Collection","Pegasus Spiele, Quined Games",Moderate in-game text - needs crib sheet or paste ups,400.0,142.0,Deck / Pool Building, Set Collection,,,2_31-60
5491,5491,Flamme Rouge,895,199478,2016,216,7.58,6593,253.50055865921792,Good,0.12087572419751275,1.6855,4,8,2,30,8921,45,1.27694,60,742,2612,2016,Asger Harding Granerud,"Racing, Sports","Hand Management, Modular Board, Simulation, Simultaneous Action Selection","Lautapelit.fi, Conclave Editora, Devir, FoxGames, Gigamic, HOT Games, Lavka Games, MESAboardgames, Playagame Edizioni, Reflexshop, Stronghold Games",No necessary in-game text,,27.0,Hand Management, Modular Board, Simulation, Simultaneous Action Selection,2_31-60
5496,5496,Flash Duel,94,65334,2010,4173,6.71,313,211.18085106382978,Bad,0.11564944181150608,1.4783,2,0,2,5,364,5,1.66582,10,15,73,2010,David Sirlin,"Card Game, Fantasy, Fighting","Hand Management, Variable Player Powers",Sirlin Games,Some necessary text - easily memorized or small crib sheet,,1068.0,Hand Management, Variable Player Powers,,,1_<= 30
5498,5498,Flash Duel: Second Edition,200,107190,2011,2185,6.92,757,230.815,Bad,0.13297735725096266,1.614,5,0,1,5,1090,5,1.52243,73,50,220,2011,David Sirlin,"Card Game, Fantasy, Fighting","Hand Management, Partnerships, Variable Player Powers",Sirlin Games,Some necessary text - easily memorized or small crib sheet,1024.0,628.0,Hand Management, Partnerships, Variable Player Powers,,1_<= 30
5500,5500,Flash Point: Fire Rescue,2931,100901,2011,281,7.24,17968,201.64005458887752,Good,0.11327404957462155,2.2111,6,10,2,45,28064,45,1.2375,761,532,3617,2011,Kevin Lanzing,Adventure,"Action Point Allowance System, Cooperative Play, Dice Rolling, Grid Movement, Pick-up and Deliver, Simulation, Variable Player Powers","Indie Boards & Cards, 999 Games, Asmodee, Bard Centrum Gier, Devir, FunBox Jogos, Heidelberger Spieleverlag, Hobby Japan, Magellan, MINDOK",Some necessary text - easily memorized or small crib sheet,,52.0,Action Point Allowance System, Cooperative Play, Dice Rolling," Grid Movement, Pick-up and Deliver, Simulation, Variable Player Powers",2_31-60
5521,5521,Flick 'em Up!,904,169124,2015,607,7.03,6214,169.1172566371681,Good,0.12004321131569592,1.3374,10,7,2,30,11961,45,1.25292,390,483,2227,2015,Gaëtan Beaujannot    Jean Yves Monpertuis,"Action / Dexterity, American West, Fighting","Partnerships, Pick-up and Deliver","Pretzel Games, Bergsala Enigma, Filosofia Éditions, Galápagos Jogos, Ghenos Games, Lacerta, Ludonova, One Moment Games, Z-Man Games, Inc.",No necessary in-game text,,134.0,Partnerships, Pick-up and Deliver,,,2_31-60
5524,5524,Flicochet,39,65565,2010,6691,6.93,82,188.35897435897442,Bad,0.16417482475976067,1.0,6,6,2,20,112,20,1.16866,6,23,46,2010,Phil Walker Harding,Action / Dexterity,Partnerships,Adventureland Games,No necessary in-game text,,1321.0,Partnerships,,,,1_<= 30
5535,5535,Flip City,549,168679,2014,1801,6.39,3075,195.528233151184,Bad,0.08208447236893686,1.7423,4,8,1,30,5903,50,1.32095,305,86,532,2014,Chih Fan Chen,"Card Game, City Building","Deck / Pool Building, Press Your Luck","Homosapiens Lab, Moaideas Game Design, Gen-X Games, PaperGames (III), Pegasus Spiele, SD Games, Tasty Minstrel Games",Moderate in-game text - needs crib sheet or paste ups,943.0,523.0,Deck / Pool Building, Press Your Luck,,,2_31-60
5547,5547,Floating Market,94,170202,2015,4626,6.26,391,173.17021276595744,Bad,0.09512000426659076,1.625,5,13,2,30,875,45,1.3456700000000001,75,30,98,2015,Ben Pinchback    Matt Riddle,Dice,"Betting/Wagering, Dice Rolling, Worker Placement",Eagle-Gryphon Games,No necessary in-game text,,1108.0,Betting/Wagering, Dice Rolling, Worker Placement,,2_31-60
5554,5554,FlowerFall,195,125315,2012,4290,6.04,773,171.96410256410255,Bad,0.07644933080881366,1.0465,7,6,2,10,1103,10,1.4066299999999998,65,28,125,2012,Carl Chudyk,"Action / Dexterity, Card Game, Party Game","Area Control / Area Influence, Modular Board",Asmadi Games,No necessary in-game text,,1090.0,Area Control / Area Influence, Modular Board,,,1_<= 30
5570,5570,Flying Kiwis,45,171541,2015,5178,6.27,310,123.6,Bad,0.096956456095345,1.0909,4,5,2,10,402,10,1.3032299999999999,11,9,50,2015,Frank Bebenroth    Marco Teubner,"Animals, ""Childrens Game"", Real-time","Action / Movement Programming, Pattern Building","Blue Orange Games, Egmont Polska, HUCH!, Mercurio, White Goblin Games",No necessary in-game text,,1181.0,Action / Movement Programming, Pattern Building,,,1_<= 30
5584,5584,Food Fight,155,99097,2011,5017,6.04,681,186.81935483870967,Bad,0.0853856519180541,1.75,6,13,2,30,1304,30,1.62076,88,18,101,2011,Matt Hyra,"Card Game, Humor","Card Drafting, Hand Management",Cryptozoic Entertainment,Some necessary text - easily memorized or small crib sheet,1631.0,1250.0,Card Drafting, Hand Management,,,1_<= 30
5612,5612,Forbidden Desert,2856,136063,2013,301,7.2,20884,173.23074229691883,Good,0.14290561854993322,2.0472,5,10,2,45,36160,45,1.14983,722,516,4368,2013,Matt Leacock,"Adventure, Fantasy, Science Fiction","Action Point Allowance System, Cooperative Play, Grid Movement, Hand Management, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers","Gamewright, ADC Blackfire Entertainment, AURUM, Inc., Cocktail Games, Competo / Marektoy, Devir, FoxMind Israel, Lifestyle Boardgames Ltd, Rebel, Reflexshop, Schmidt Spiele, uplay.it edizioni, White Goblin Games",Some necessary text - easily memorized or small crib sheet,,58.0,Action Point Allowance System, Cooperative Play, Grid Movement," Hand Management, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers",2_31-60
5613,5613,Forbidden Island,5919,65244,2010,634,6.82,35136,162.29227910119954,Bad,0.14629775271828147,1.7421,4,10,2,30,59953,30,1.19108,1808,214,3213,2010,Matt Leacock,"Adventure, Fantasy","Action Point Allowance System, Cooperative Play, Grid Movement, Hand Management, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers","Gamewright, ADC Blackfire Entertainment, AURUM, Inc., Cocktail Games, Competo / Marektoy, Devir, FoxMind Israel, Kaissa Chess & Games, Kanga Games, Lex Games, Lifestyle Boardgames Ltd, Rebel, Reflexshop, Schmidt Spiele, uplay.it edizioni, White Goblin Games",Some necessary text - easily memorized or small crib sheet,,178.0,Action Point Allowance System, Cooperative Play, Grid Movement," Hand Management, Modular Board, Pick-up and Deliver, Set Collection, Variable Player Powers",1_<= 30
5614,5614,Forbidden Sky,126,245271,2018,2074,6.89,801,244.6190476190476,Bad,0.10804411563249906,2.76,5,10,2,60,2936,60,1.3046799999999998,54,161,1234,2018,Matt Leacock,"Electronic, Science Fiction","Action Point Allowance System, Cooperative Play, Modular Board, Tile Placement, Variable Player Powers","Gamewright, Reflexshop, Schmidt Spiele, White Goblin Games",Some necessary text - easily memorized or small crib sheet,967.0,503.0,Action Point Allowance System, Cooperative Play, Modular Board," Tile Placement, Variable Player Powers",2_31-60
5657,5657,Fortuna,153,80979,2011,2638,6.54,817,234.37254901960785,Bad,0.05214048930831643,2.4133,4,10,2,60,1268,60,1.20547,74,22,172,2011,Michael Rieneck    Stefan Stadler,Ancient,"Dice Rolling, Hand Management, Point to Point Movement, Worker Placement","The Game Master BV, Ghenos Games, HUCH!, Intrafin Games, Ludonova",No necessary in-game text,1123.0,717.0,Dice Rolling, Hand Management, Point to Point Movement, Worker Placement,2_31-60
5723,5723,Fresco,1771,66188,2010,273,7.31,10557,222.13269339356296,Good,0.10983188482244813,2.6322,4,10,2,60,12799,60,1.1345299999999998,397,506,2258,2010,Wolfgang Panning    Marco Ruskowski    Marcel Süßelbeck,Renaissance,"Action / Movement Programming, Grid Movement, Set Collection, Simultaneous Action Selection","Queen Games, Arclight, Competo / Marektoy, Devir, Piatnik",No necessary in-game text,199.0,39.0,Action / Movement Programming, Grid Movement, Set Collection, Simultaneous Action Selection,2_31-60
5725,5725,Fresh Fish,434,164698,2014,2761,6.89,474,222.5,Bad,0.07144402277735802,2.2963,5,12,2,45,813,45,1.29011,38,60,191,2014,Friedemann Friese,City Building,"Auction/Bidding, Tile Placement","2F-Spiele, Edge Entertainment",No necessary in-game text,1114.0,707.0,Auction/Bidding, Tile Placement,,,2_31-60
5734,5734,Friese's Landlord,99,147623,2013,2873,6.51,749,174.26262626262627,Bad,0.04261107444677936,1.7436,6,12,2,40,1470,40,1.3748200000000002,39,35,136,2013,Friedemann Friese,"Card Game, City Building, Humor","Hand Management, Take That","2F-Spiele, Arclight, Edge Entertainment, Giochi Uniti, Ideal Board Games, Korea Boardgames co., Ltd., Lacerta, Stronghold Games, Swan Panasia Co., Ltd.",Moderate in-game text - needs crib sheet or paste ups,,785.0,Hand Management, Take That,,,2_31-60
5770,5770,Fugitive,417,197443,2017,647,7.32,2536,163.4172661870504,Good,0.10610939083645683,1.6829,2,10,2,5,5759,20,1.09502,109,234,1181,2017,Tim Fowers,"Bluffing, Card Game, Deduction, Number, Spies/Secret Agents","Hand Management, Memory, Secret Unit Deployment","Fowers Games, 2Tomatoes, BoardM Factory, Broadway Toys LTD, MS Edizioni",Some necessary text - easily memorized or small crib sheet,,124.0,Hand Management, Memory, Secret Unit Deployment,,1_<= 30
5772,5772,Fuji Flush,331,203430,2016,1802,6.54,1757,181.96072507552867,Bad,0.11831932275008974,1.0625,8,7,3,10,2704,20,1.34913,49,56,255,2016,Friedemann Friese,"Card Game, Number","Hand Management, Take That","2F-Spiele, Arclight, Edge Entertainment, Giochi Uniti, Stronghold Games, Swan Panasia Co., Ltd., White Goblin Games",No necessary in-game text,,483.0,Hand Management, Take That,,,1_<= 30
5872,5872,Game of Trains,165,180602,2015,2496,6.37,1326,172.29090909090908,Bad,0.1078598173551492,1.2075,4,8,2,20,2203,20,1.20866,56,38,177,2015,Alexey Konnov    Alexey Paltsev    Anatoliy Shklyarov    Trehgrannik,"Card Game, Puzzle, Trains","Card Drafting, Pattern Building","ABACUSSPIELE, Brain Games, Broadway Toys LTD, dV Giochi, Rebel, Reflexshop, SD Games",No necessary in-game text,,710.0,Card Drafting, Pattern Building,,,1_<= 30
5893,5893,Garden Dice,261,109779,2012,1934,6.68,1172,247.2183908045977,Bad,0.1015517956540414,2.1194,4,13,2,60,1791,60,1.2629299999999999,84,160,559,2012,Doug Bass,"Dice, Farming","Dice Rolling, Set Collection, Tile Placement",Meridae Games,No necessary in-game text,935.0,510.0,Dice Rolling, Set Collection, Tile Placement,,2_31-60
